item,year,worry,actual,expected,unexpected
Inflation,2013,13.818181818181818,3,7.356371201635547,6.461810616546272
Inflation,2014,11.545454545454543,2.4,5.2595005264064785,6.285954019048065
Inflation,2015,6.25,1,0.2066076190089352,6.043392380991065
Inflation,2016,6,1.8,1.0000018710261507,4.999998128973849
Inflation,2017,7.166666666666667,3.6,7.530905894507933,-0.3642392278412663
Inflation,2018,6.5,3.3,8.765244535941953,-2.265244535941953
Inflation,2019,5.083333333333333,2.6,6.238798082243182,-1.155464748909849
Inflation,2020,1.4166666666666667,1.5,1.9940485146655882,-0.5773818479989214
Inflation,2021,3.1666666666666665,4.1,8.717616795678122,-5.550950129011456
Inflation,2022,36.416666666666664,11.6,35.04864623493874,1.3680204317279276
Inflation,2023,36.7,9.7,38.180430340359806,-1.4804303403598027
Inflation,2024,22.11954138033271,3.6,17.02243980739403,5.09710157293868
Inflation,2025,19.652213397971888,4.1,11.24068277252126,8.411530625450627
Economy (general),1979,0,-3.7,15.829859766538878,-15.829859766538878
Economy (general),1980,0,2,38.48011784329073,-38.48011784329073
Economy (general),1982,0,-2,22.58519989469294,-22.58519989469294
Economy (general),1983,0,-4.2,13.842995022964153,-13.842995022964153
Economy (general),1984,0,-2.2,21.79045399726305,-21.79045399726305
Economy (general),1985,0,-4.1,14.240367971679103,-14.240367971679103
Economy (general),1986,0,-3.1,18.214097458828547,-18.214097458828547
Economy (general),1987,8,-5.5,8.677146689669872,-0.6771466896698719
Economy (general),1988,12,-5.4,9.074519638384817,2.9254803616151825
Economy (general),1989,19.25,-2.4,20.99570809983316,-1.745708099833159
Economy (general),1990,24.083333333333332,-0.6,28.148421176702165,-4.065087843368833
Economy (general),1991,29.416666666666668,1.4,36.09588015100106,-6.679213484334394
Economy (general),1992,39.27272727272727,-0.3,29.340540022847,9.932187249880272
Economy (general),1993,32.166666666666664,-2.3,21.393081048548105,10.77358561811856
Economy (general),1994,21.583333333333332,-3.4,17.02197861268371,4.561354720649621
Economy (general),1995,19.583333333333332,-2.4,20.99570809983316,-1.412374766499827
Economy (general),1996,16.583333333333332,-2.6,20.20096220240327,-3.6176288690699394
Economy (general),1997,17.181818181818183,-4.9,11.061384381959542,6.120433799858642
Economy (general),1998,18.833333333333332,-3.2,17.816724510113602,1.0166088232197303
Economy (general),1999,13.333333333333334,-2.9,19.00884335625844,-5.6755100229251045
Economy (general),2000,10.333333333333334,-4.5,12.65087617681932,-2.3175428434859864
Economy (general),2001,11.8,-2.4,20.99570809983316,-9.195708099833158
Economy (general),2002,8.583333333333334,-1.7,23.777318740837774,-15.19398540750444
Economy (general),2003,11.75,-3.2,17.816724510113602,-6.066724510113602
Economy (general),2004,9.666666666666666,-2.3,21.393081048548105,-11.726414381881439
Economy (general),2005,11.1,-2.8,19.406216304973384,-8.306216304973384
Economy (general),2006,9.090909090909092,-2.2,21.79045399726305,-12.699544906353958
Economy (general),2007,10.333333333333334,-2.9,19.00884335625844,-8.675510022925105
Economy (general),2008,40.333333333333336,-0,30.532658868991835,9.800674464341501
Economy (general),2009,58.333333333333336,4.6,48.81181450987929,9.521518823454045
Economy (general),2010,59,-2.3,21.393081048548105,37.606918951451895
Economy (general),2011,59.583333333333336,-0.9,26.95630233055733,32.62703100277601
Economy (general),2012,58,-1.5,24.572064638267662,33.42793536173234
Economy (general),2013,47.36363636363637,-1.7,23.777318740837774,23.586317622798592
Economy (general),2014,34.63636363636363,-3.2,17.816724510113602,16.81963912625003
Economy (general),2015,28.916666666666668,-2.1,22.187826945977996,6.728839720688672
Economy (general),2016,26.083333333333332,-2.2,21.79045399726305,4.292879336070282
Economy (general),2017,21,-3,18.611470407543493,2.388529592456507
Economy (general),2018,17.833333333333332,-1.6,24.174691689552716,-6.341358356219384
Economy (general),2019,17.25,-1.3,25.366810535697553,-8.116810535697553
Economy (general),2020,29.555555555555557,10,70.26995374048632,-40.71439818493076
Economy (general),2021,29,-8.5,-3.244041771778466,32.24404177177847
Economy (general),2022,33.916666666666664,-5.1,10.266638484529654,23.65002818213701
Economy (general),2023,35.5,-0.3,29.340540022847,6.1594599771529985
Economy (general),2024,33.64353640524536,-1,26.558929381842386,7.08460702340297
Economy (general),2025,33.838357877589196,-1.3,25.366810535697553,8.471547341891643
Health / NHS,2008,19.5,2.346,26.55660080523373,-7.056600805233732
Health / NHS,2009,15.88888888888889,2.365,26.58100997424717,-10.69212108535828
Health / NHS,2010,19.272727272727273,2.456,26.69791704689048,-7.425189774163208
Health / NHS,2011,19.666666666666668,2.415,26.645244629545694,-6.978577962879026
Health / NHS,2012,18.818181818181817,2.625,26.915030181799494,-8.096848363617678
Health / NHS,2013,24.181818181818183,2.94,27.31970851018019,-3.1378903283620083
Health / NHS,2014,27.181818181818183,3.175,27.621611390083253,-0.43979320826506907
Health / NHS,2015,38.75,3.53,28.077677442702768,10.672322557297232
Health / NHS,2016,36.333333333333336,3.834,28.468224146917795,7.865109186415541
Health / NHS,2017,47.75,3.996,28.67634443008501,19.07365556991499
Health / NHS,2018,45,4.285,29.047620737710474,15.952379262289526
Health / NHS,2019,41.416666666666664,4.565,29.40733480738221,12.009331859284455
Health / NHS,2020,25,4.587,29.43559805571356,-4.435598055713559
Health / NHS,2021,22.5,6.071,31.342082624973738,-8.842082624973738
Health / NHS,2022,18.666666666666668,7.2,32.7925011416144,-14.125834474947734
Health / NHS,2023,28.7,7.608,33.31665592885035,-4.616655928850353
Health / NHS,2024,34.92479472723754,7.463,33.13037542848463,1.7944192987529064
Health / NHS,2025,28.111702411980076,7.291,32.909408214257716,-4.79770580227764
Immigration,1980,11.5,-55,9.849855788626561,1.6501442113734388
Immigration,1982,1.6666666666666667,-56,5.982341796852552,-4.315675130185885
Immigration,1983,3.7142857142857144,17,6.778050940165165,-3.0637652258794503
Immigration,1984,3.3,37,10.033557960889409,-6.733557960889409
Immigration,1985,5.25,58,10.871957800408977,-5.6219578004089765
Immigration,1986,0,37,11.900728019528003,-11.900728019528003
Immigration,1987,0.4,2,11.065063995691553,-10.665063995691552
Immigration,1988,3.0833333333333335,-21,9.550449808940606,-6.467116475607272
Immigration,1989,0,44,8.278871827253074,-8.278871827253074
Immigration,1990,1.5833333333333333,36,11.266606080518391,-9.683272747185057
Immigration,1991,0.3333333333333333,44,10.874693616092095,-10.541360282758761
Immigration,1992,2.4545454545454546,-13,11.435574001390645,-8.98102854684519
