item,year,resid,z
Inflation,2019,-1.155464748909849,-0.20717259086569495
Inflation,2020,-0.5773818479989214,-0.10352344671840107
Inflation,2021,-5.550950129011456,-0.995274603642012
Inflation,2022,1.3680204317279276,0.24528341298657297
Inflation,2023,-1.4804303403598027,-0.2654382918197121
Inflation,2024,5.09710157293868,0.9139004368308118
Inflation,2025,8.411530625450627,1.50817114452421
Education,2011,0.39806568094428485,0.1632662087484182
Education,2012,-1.2029166325779848,-0.49337495655374025
Education,2013,2.311204163040827,0.9479378891647064
Education,2014,0.6621864765630967,0.2715950675689172
Education,2015,-1.578176326795738,-0.647287314498505
Education,2016,-0.5735340602292922,-0.23523437483883372
Education,2017,-0.6047091424761106,-0.24802080112352154
Education,2018,2.8333014138768995,1.1620755122317605
Education,2019,2.901047206086883,1.1898613756765677
Education,2020,3.255101948057858,1.3350765453789044
Education,2021,0.6868645549002022,0.2817167547230018
Education,2022,-5.146468778433132,-2.110818606375879
Trade unions / strikes,1979,9.496779852672368,1.8836448768426923
Trade unions / strikes,1980,18.317528121051723,3.633201836507958
Trade unions / strikes,1982,0.14402396838409182,0.02856652616970037
Trade unions / strikes,1983,-2.2275749059475523,-0.44182977013947705
Trade unions / strikes,1984,-11.461675939431842,-2.2733734485028263
Trade unions / strikes,1985,-18.38349261765306,-3.6462856067968583
Trade unions / strikes,1986,-3.85003620051324,-0.7636378938188135
Trade unions / strikes,1987,-3.279225142166898,-0.6504200091906169
Trade unions / strikes,1988,-4.349824884068496,-0.8627688000720417
Trade unions / strikes,1989,-6.546854508294223,-1.2985400467625583
Trade unions / strikes,1990,-3.419694795367843,-0.678281552440919
Trade unions / strikes,1991,-0.7272025675179683,-0.14423745858935727
Trade unions / strikes,1992,1.350528307453455,0.2678714013413591
Trade unions / strikes,1993,0.7356403113444856,0.14591104828791787
Trade unions / strikes,1994,1.2831003600086415,0.25449736195845174
Trade unions / strikes,1995,1.122698116852524,0.2226822763986791
Trade unions / strikes,1996,-0.1913066098222258,-0.03794483194178466
Trade unions / strikes,1997,0.6149595702036579,0.12197454946305228
Trade unions / strikes,1998,1.0588189541264872,0.2100121229916755
Trade unions / strikes,1999,1.3065328610341163,0.25914509636874516
Trade unions / strikes,2000,0.7880364836939268,0.15630360062074034
Trade unions / strikes,2001,0.6705045596896374,0.13299165594574122
Trade unions / strikes,2002,1.1812561460522049,0.2342970061714183
Trade unions / strikes,2003,0.7707496356327503,0.1528748296802378
Trade unions / strikes,2004,0.23127787638972086,0.04587295838662257
Trade unions / strikes,2005,0.885386508286522,0.17561255354258273
Trade unions / strikes,2006,0.6957138574240793,0.13799181023624227
Trade unions / strikes,2007,0.04132345795025977,0.008196327709916075
Trade unions / strikes,2008,0.030350991673666616,0.006019986865032963
Trade unions / strikes,2009,0.6150374423442467,0.12198999506260756
Trade unions / strikes,2010,1.1297458882355893,0.2240801711235035
Trade unions / strikes,2011,0.06361101208939385,0.012616966897389762
Trade unions / strikes,2012,0.851227992353626,0.16883736084192819
Trade unions / strikes,2013,1.357445297894544,0.2692433562365608
Trade unions / strikes,2014,1.192900957681533,0.23660670378552165
Trade unions / strikes,2015,1.7826895452350577,0.35358869858798786
Trade unions / strikes,2016,2.3033948991446382,0.4568683352071668
Trade unions / strikes,2017,2.274145558970071,0.4510668561136666
Trade unions / strikes,2018,2.040810254763564,0.404785815890181
Trade unions / strikes,2019,2.0306701206367412,0.4027745644981512
Trade unions / strikes,2020,0.5345280340429597,0.10602130495533066
Trade unions / strikes,2021,-0.43899891042225647,-0.08707351980194791
Trade unions / strikes,2022,-1.2875258548874726,-0.255375139572056
Trade unions / strikes,2023,-0.64247488360256,-0.12743209190613403
