year,theta_mean,theta_sd,trust_pct_pred,spec,n_anchor,r2,intercept,slope
2014,0.3281027025,0.03426112065676134,21.861024820780756,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
2015,0.369294459,0.0635190738918306,23.368620505317306,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
2018,0.348302261,0.03552245049784328,22.600317577673597,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1979,0.243599448065,0.16094601466720362,23.33174982146937,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1980,0.23176999877499999,0.15552430825567176,23.179727684572757,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1981,0.2151202777,0.1431491889535944,22.96575946724469,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1982,0.2015092237925,0.12963432710501205,22.79084164565326,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1983,0.18606116835,0.1081656988785094,22.59231622475717,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1984,0.171384359275,0.08324149591355542,22.40370221376587,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1985,0.149716119275,0.03818185510516329,22.125240210435486,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1988,0.292621462675,0.13602441922814928,23.961739538935674,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1989,0.3409755092,0.13517511808358557,24.583145092154684,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1990,0.392515281625,0.12059801231840343,25.245490916303655,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1992,0.46760578785,0.12890335264304706,26.21049097143072,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1993,0.478609533875,0.1534835873645741,26.351901864159444,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1995,0.503600862925,0.15428574455117128,26.673069414138208,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1999,0.4559343425,0.06912281659332635,26.06049936833226,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
2004,0.21854443,0.02836110670209188,23.009763793815118,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
2006,0.29918542525,0.06025199922281408,24.04609406742623,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
2008,0.24192681975,0.03067909050958625,23.31025460859458,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
2014,0.3281027025,0.03426112065676134,24.417714603007116,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
2015,0.369294459,0.0635190738918306,24.94707642638029,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
2018,0.348302261,0.03552245049784328,24.677302346464792,C. Excl. crisis years,20,0.04071632803963757,20.201214516416602,12.85115926952938
1979,0.243599448065,0.16094601466720362,18.341733880599342,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1980,0.23176999877499999,0.15552430825567176,17.779032418808708,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1981,0.2151202777,0.1431491889535944,16.987040994894425,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1982,0.2015092237925,0.12963432710501205,16.339592433046676,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1983,0.18606116835,0.1081656988785094,15.604761658915384,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1984,0.171384359275,0.08324149591355542,14.906617415809661,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1985,0.149716119275,0.03818185510516329,13.875905839680968,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
