"year","reversals","fasttrack","recalls","prorog_orderpap","confidence","surprise_resid","so24","n_components","dislocation_index","z_fasttrack","z_recalls","z_confidence","z_so24"
2008,2,1,0,0,0,-2.15403697959383,1,4,-0.469158691722995,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.132800834605125
2009,0,1,0,0,0,0.845963020406175,0,4,-0.591744077512341,-0.765328962378833,-0.599964770025857,-0.378540199882165,-0.623142377762511
2010,0,2,0,0,0,-1.84311281455797,0,4,-0.458643388402979,-0.232926205941384,-0.599964770025857,-0.378540199882165,-0.623142377762511
2011,0,2,2,0,0,-0.843112814557974,1,4,0.289992192195957,-0.232926205941384,1.9042360092125,-0.378540199882165,-0.132800834605125
2012,2,3,0,0,0,-0.843112814557974,2,4,-0.0803719277149242,0.299476550496065,-0.599964770025857,-0.378540199882165,0.35754070855226
2013,1,1,2,0,0,-0.843112814557974,1,4,0.156891503086595,-0.765328962378833,1.9042360092125,-0.378540199882165,-0.132800834605125
2014,0,1,1,0,0,1.15688718544203,1,4,-0.1561335943182,-0.765328962378833,0.652135619593323,-0.378540199882165,-0.132800834605125
2015,2,1,0,0,0,-0.83302747078742,3,4,-0.223987920144302,-0.765328962378833,-0.599964770025857,-0.378540199882165,0.847882251709646
2016,2,0,1,0,0,-2.83302747078742,3,4,-0.0440635118488696,-1.29773171881628,0.652135619593323,-0.378540199882165,0.847882251709646
2017,2,2,0,0,0,-3.0817668028161,9,4,0.644625083701138,-0.232926205941384,-0.599964770025857,-0.378540199882165,3.78993151065396
2018,0,5,0,0,0,3.9182331971839,10,4,1.16651253681857,1.36428206337096,-0.599964770025857,-0.378540199882165,4.28027305381134
2019,2,6,1,6,2,31.9182331971839,5,4,1.75679179415033,1.89668481980841,0.652135619593323,2.64978139917515,1.82856533802442
2020,3,8,2,0,0,-0.718743148543634,1,4,1.08859632685213,2.96149033268331,1.9042360092125,-0.378540199882165,-0.132800834605125
2021,2,3,3,0,0,0.281256851456366,2,4,0.858703364499461,0.299476550496065,3.15633639883168,-0.378540199882165,0.35754070855226
2022,4,7,0,0,2,-1.71874314854363,0,4,0.963940456908162,2.42908757624586,-0.599964770025857,2.64978139917515,-0.623142377762511
2023,3,5,0,0,0,-0.718743148543634,1,4,0.063244064714454,1.36428206337096,-0.599964770025857,-0.378540199882165,-0.132800834605125
2024,0,2,0,0,0,1.421592,0,4,-0.458643388402979,-0.232926205941384,-0.599964770025857,-0.378540199882165,-0.623142377762511
2025,5,1,1,0,0,1.421592,1,4,-0.1561335943182,-0.765328962378833,0.652135619593323,-0.378540199882165,-0.132800834605125
2026,0,4,0,0,0,1.421592,1,4,-0.0698566243949083,0.831879306933514,-0.599964770025857,-0.378540199882165,-0.132800834605125
